,Frame,Num_detections,Yolo_det,sort_tracks,sort_track_nums,iou_RFID,read_outs
109,109,2,"[[443, 152, 505, 299, 0.9997], [15, 109, 96, 251, 0.9351]]","[[445, 153, 503, 299, 2], [16, 114, 97, 246, 1]]","[2, 1]",{},{}
110,110,2,"[[442, 154, 505, 299, 0.9995], [17, 110, 92, 251, 0.9741]]","[[444, 153, 503, 299, 2], [15, 113, 95, 247, 1]]","[2, 1]",{},{}
111,111,2,"[[444, 154, 504, 300, 0.9998], [16, 102, 90, 261, 0.5613]]","[[444, 154, 503, 299, 2], [14, 110, 93, 251, 1]]","[2, 1]",{},{}
112,112,2,"[[443, 155, 505, 300, 0.9998], [16, 129, 104, 262, 0.9982]]","[[444, 155, 503, 299, 2], [17, 121, 98, 259, 1]]","[2, 1]",{},{}
113,113,2,"[[443, 151, 504, 301, 0.9996], [16, 123, 105, 262, 0.9988]]","[[443, 153, 503, 299, 2], [17, 122, 101, 261, 1]]","[2, 1]",{},{}
114,114,2,"[[443, 148, 505, 304, 0.9996], [18, 125, 105, 259, 0.9961]]","[[443, 152, 504, 300, 2], [18, 123, 103, 261, 1]]","[2, 1]",{},{}
115,115,2,"[[443, 148, 505, 306, 0.9997], [18, 120, 104, 266, 0.9982]]","[[443, 151, 504, 302, 2], [18, 123, 103, 262, 1]]","[2, 1]",{},{}
116,116,2,"[[444, 149, 505, 303, 0.9998], [17, 122, 108, 264, 0.9998]]","[[443, 150, 504, 302, 2], [18, 123, 105, 263, 1]]","[2, 1]",{},{}
117,117,2,"[[446, 151, 504, 302, 0.9999], [19, 130, 106, 263, 0.9989]]","[[444, 151, 504, 302, 2], [19, 126, 105, 264, 1]]","[2, 1]",{},{}
118,118,2,"[[445, 149, 505, 303, 0.9999], [20, 128, 104, 263, 0.999]]","[[445, 150, 504, 302, 2], [19, 127, 105, 264, 1]]","[2, 1]",{},{}
119,119,2,"[[444, 154, 505, 299, 0.9999], [21, 132, 104, 258, 0.9998]]","[[444, 151, 504, 301, 2], [19, 128, 105, 262, 1]]","[2, 1]",{},{}
120,120,2,"[[442, 151, 506, 299, 0.9997], [20, 128, 103, 263, 0.9996]]","[[443, 151, 504, 299, 2], [19, 128, 104, 263, 1]]","[2, 1]",{},{}
121,121,2,"[[22, 129, 104, 258, 0.9999], [443, 145, 505, 304, 0.9996]]","[[443, 149, 504, 300, 2], [20, 127, 104, 261, 1]]","[2, 1]",{},{}
122,122,2,"[[20, 129, 104, 259, 0.9998], [444, 142, 504, 310, 0.9997]]","[[443, 147, 504, 303, 2], [20, 128, 104, 260, 1]]","[2, 1]",{},{}
123,123,2,"[[17, 121, 106, 263, 0.9996], [445, 141, 503, 312, 0.9992]]","[[443, 146, 504, 305, 2], [19, 125, 104, 260, 1]]","[2, 1]",{},{}
124,124,2,"[[18, 128, 107, 257, 0.9994], [443, 146, 504, 309, 0.9992]]","[[443, 147, 503, 307, 2], [19, 126, 105, 259, 1]]","[2, 1]",{},{}
125,125,2,"[[19, 128, 108, 258, 0.9998], [443, 144, 504, 311, 0.9994]]","[[443, 146, 503, 308, 2], [19, 126, 106, 259, 1]]","[2, 1]",{},{}
126,126,2,"[[21, 129, 105, 262, 1.0], [443, 147, 505, 308, 0.9996]]","[[443, 146, 504, 308, 2], [19, 128, 106, 261, 1]]","[2, 1]",{},{}
127,127,2,"[[443, 149, 504, 307, 0.9997], [20, 126, 103, 258, 0.9996]]","[[443, 147, 503, 308, 2], [19, 126, 104, 259, 1]]","[2, 1]",{},{}
128,128,2,"[[19, 127, 105, 258, 0.9999], [443, 154, 504, 304, 0.9997]]","[[443, 150, 503, 307, 2], [19, 126, 104, 258, 1]]","[2, 1]",{},{}
129,129,2,"[[19, 129, 105, 257, 0.9999], [431, 168, 510, 298, 0.9996]]","[[438, 157, 504, 305, 2], [19, 127, 104, 258, 1]]","[2, 1]",{},{}
130,130,2,"[[21, 129, 105, 259, 0.9999], [442, 153, 506, 303, 0.9997]]","[[440, 155, 505, 303, 2], [20, 128, 105, 259, 1]]","[2, 1]",{},{}
131,131,2,"[[442, 164, 507, 290, 0.9997], [18, 124, 109, 260, 0.9992]]","[[441, 157, 506, 298, 2], [19, 126, 106, 258, 1]]","[2, 1]",{},{}
132,132,2,"[[443, 162, 507, 291, 0.9999], [20, 131, 114, 254, 0.9998]]","[[442, 158, 507, 295, 2], [21, 127, 110, 257, 1]]","[2, 1]",{},{}
133,133,2,"[[445, 163, 507, 292, 0.9999], [21, 130, 109, 255, 0.9993]]","[[443, 159, 507, 294, 2], [21, 128, 109, 256, 1]]","[2, 1]",{},{}
134,134,2,"[[447, 167, 504, 289, 0.9998], [21, 133, 111, 255, 0.9995]]","[[444, 162, 506, 293, 2], [21, 130, 110, 256, 1]]","[2, 1]",{},{}
135,135,2,"[[19, 133, 109, 256, 0.9992], [445, 170, 507, 315, 0.9985]]","[[444, 170, 506, 304, 2], [20, 131, 109, 257, 1]]","[2, 1]",{},{}
136,136,2,"[[431, 211, 505, 320, 0.998], [20, 129, 107, 260, 0.9976]]","[[438, 193, 503, 319, 2], [19, 130, 108, 258, 1]]","[2, 1]",{},{}
